result_dir,accuracy,split_folder,model_family,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,model,target,split_col,task_type,train_rows,validation_rows,test_rows,embedding_file,embedding_missing_train,embedding_missing_test,threshold,threshold_validation_score
node2vec/integration_binary/edu_to_eng_cluster_safe,0.5935672514619883,integration_binary,edu_to_eng_cluster_safe,0.5892655025531583,0.5995896999343502,0.4719101123595505,0.6511627906976745,0.5472312703583062,0.6318739309240456,0.497767944453707,emb_svm,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/edu_to_eng_cluster_safe,0.6169590643274854,integration_binary,edu_to_eng_cluster_safe,0.6043728972210203,0.6217046683184476,0.4934210526315789,0.5813953488372093,0.5338078291814946,0.6143319867525565,0.4732434907280784,emb_rf,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/integration_binary/edu_to_eng_cluster_safe,0.5789473684210527,integration_binary,edu_to_eng_cluster_safe,0.5711897464474784,0.5853558387470488,0.4550898203592814,0.5891472868217055,0.5135135135135135,0.6066892309931943,0.4765677926084614,emb_extra_trees,target_integration_binary,split_edu_to_eng_cluster_safe,binary,1834,324,342,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/random_cluster_stratified,0.8502673796791443,design_binary,random_cluster_stratified,0.4595375722543353,0.7814596148496183,0.8502673796791443,1.0,0.9190751445086706,0.5,0.8502673796791443,dummy,target_design_binary,split_random_cluster_stratified,binary,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/random_cluster_stratified,0.6497326203208557,design_binary,random_cluster_stratified,0.5543852947329168,0.6987841346406622,0.9082969432314412,0.6540880503144654,0.7605118829981719,0.6991801437556154,0.924540594362498,emb_lr,target_design_binary,split_random_cluster_stratified,binary,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/random_cluster_stratified,0.6497326203208557,design_binary,random_cluster_stratified,0.5571564152393005,0.6989983201010985,0.9118942731277532,0.6509433962264151,0.7596330275229358,0.6984501347708895,0.9243689451935444,emb_svm,target_design_binary,split_random_cluster_stratified,binary,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/random_cluster_stratified,0.8502673796791443,design_binary,random_cluster_stratified,0.4595375722543353,0.7814596148496183,0.8502673796791443,1.0,0.9190751445086706,0.7133310871518419,0.9230273730020396,emb_rf,target_design_binary,split_random_cluster_stratified,binary,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/random_cluster_stratified,0.8502673796791443,design_binary,random_cluster_stratified,0.4595375722543353,0.7814596148496183,0.8502673796791443,1.0,0.9190751445086706,0.7168688230008985,0.9309621447923312,emb_extra_trees,target_design_binary,split_random_cluster_stratified,binary,1750,376,374,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/temporal_cluster_safe,0.9743589743589745,design_binary,temporal_cluster_safe,0.4935064935064935,0.9617049617049616,0.9743589743589745,1.0,0.987012987012987,0.5,0.9743589743589745,dummy,target_design_binary,split_temporal_cluster_safe,binary,1257,346,897,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/temporal_cluster_safe,0.6610925306577481,design_binary,temporal_cluster_safe,0.4382015064361413,0.7739187836265613,0.9846938775510204,0.6624713958810069,0.7920656634746922,0.7094816436175505,0.9891939475312292,emb_lr,target_design_binary,split_temporal_cluster_safe,binary,1257,346,897,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/temporal_cluster_safe,0.6622073578595318,design_binary,temporal_cluster_safe,0.4387417321111072,0.7747298019201342,0.9847198641765704,0.6636155606407322,0.7928913192071086,0.7103273306138693,0.9892154842647012,emb_svm,target_design_binary,split_temporal_cluster_safe,binary,1257,346,897,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/temporal_cluster_safe,0.9665551839464884,design_binary,temporal_cluster_safe,0.5503008021390374,0.960767174002468,0.9762979683972912,0.9897025171624714,0.9829545454545454,0.6412297283852353,0.9847780979950046,emb_rf,target_design_binary,split_temporal_cluster_safe,binary,1257,346,897,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/temporal_cluster_safe,0.967670011148272,design_binary,temporal_cluster_safe,0.5774709656460651,0.9626906729806104,0.9774011299435028,0.9897025171624714,0.9835133598635588,0.6871953039498558,0.9869024544584962,emb_extra_trees,target_design_binary,split_temporal_cluster_safe,binary,1257,346,897,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cross_program_cluster_safe,0.7018348623853211,design_binary,cross_program_cluster_safe,0.4123989218328841,0.5788718811048741,0.7018348623853211,1.0,0.8247978436657682,0.5,0.7018348623853211,dummy,target_design_binary,split_cross_program_cluster_safe,binary,2228,54,218,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cross_program_cluster_safe,0.5275229357798165,design_binary,cross_program_cluster_safe,0.5201624105139437,0.5441522706397511,0.7717391304347826,0.4640522875816993,0.5795918367346938,0.6151835093011564,0.800019477232534,emb_lr,target_design_binary,split_cross_program_cluster_safe,binary,2228,54,218,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cross_program_cluster_safe,0.5275229357798165,design_binary,cross_program_cluster_safe,0.5212264653830572,0.54339004117965,0.7777777777777778,0.457516339869281,0.5761316872427984,0.6156862745098038,0.8002538700466688,emb_svm,target_design_binary,split_cross_program_cluster_safe,binary,2228,54,218,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cross_program_cluster_safe,0.7018348623853211,design_binary,cross_program_cluster_safe,0.4123989218328841,0.5788718811048741,0.7018348623853211,1.0,0.8247978436657682,0.5330316742081448,0.7395029524980279,emb_rf,target_design_binary,split_cross_program_cluster_safe,binary,2228,54,218,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cross_program_cluster_safe,0.7018348623853211,design_binary,cross_program_cluster_safe,0.4123989218328841,0.5788718811048741,0.7018348623853211,1.0,0.8247978436657682,0.5631975867269986,0.761071313623097,emb_extra_trees,target_design_binary,split_cross_program_cluster_safe,binary,2228,54,218,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
node2vec/design_binary/cold_start_pi_cluster_safe,0.8493150684931506,design_binary,cold_start_pi_cluster_safe,0.4592592592592592,0.7801116184677829,0.8493150684931506,1.0,0.9185185185185184,0.5,0.8493150684931506,dummy,target_design_binary,split_cold_start_pi_cluster_safe,binary,1735,400,365,/home/jovyan/MethodKG_Clean/artifacts/features/walk_embeddings_v1/node2vec_award_embeddings.csv,0,0,,
