result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
design_binary/edu_to_eng_cluster_safe/late_fusion/dummy,design_binary,edu_to_eng_cluster_safe,late_fusion,dummy,target_design_binary,split_edu_to_eng_cluster_safe,342,0.8070175438596491,0.4466019417475728,0.7208312042241527,0.8932038834951457,0.8070175438596491,1.0,0.5,0.8070175438596491,1836,322,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_lr,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_edu_to_eng_cluster_safe,342,0.7602339181286549,0.6683695189442316,0.7755446513260589,0.842911877394636,0.8943089430894309,0.7971014492753623,0.7765151515151515,0.9293800006425824,1836,322,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_svm,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_edu_to_eng_cluster_safe,342,0.7573099415204678,0.6569211617254258,0.7708759928441222,0.8425047438330171,0.8844621513944223,0.8043478260869565,0.7516469038208169,0.914483760007745,1836,322,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_mlp,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_edu_to_eng_cluster_safe,342,0.8421052631578947,0.7465415019762847,0.8421052631578947,0.9021739130434784,0.9021739130434784,0.9021739130434784,0.8574330259112867,0.9611641875586424,1836,322,2,,
design_binary/edu_to_eng_cluster_safe/late_fusion/fusion_extra_trees,design_binary,edu_to_eng_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_edu_to_eng_cluster_safe,342,0.8187134502923976,0.5302614089499336,0.7562872622406703,0.898360655737705,0.8203592814371258,0.9927536231884058,0.8864185331576636,0.971470441925876,1836,322,2,,
mmr_multiclass/random_cluster_stratified/late_fusion/dummy,mmr_multiclass,random_cluster_stratified,late_fusion,dummy,target_mmr_multiclass,split_random_cluster_stratified,374,0.3048128342245989,0.0778688524590164,0.1424125536950995,,,,,,1750,376,6,0.5,0.1666666666666666
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_lr,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_lr,target_mmr_multiclass,split_random_cluster_stratified,374,0.4705882352941176,0.4331504570781937,0.469638645621852,,,,,,1750,376,6,0.7746759646425154,0.4214788868935899
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_svm,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_svm,target_mmr_multiclass,split_random_cluster_stratified,374,0.4411764705882353,0.3888074055946629,0.434942729314463,,,,,,1750,376,6,0.7481004011733762,0.4091194794636782
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_mlp,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_mlp,target_mmr_multiclass,split_random_cluster_stratified,374,0.46524064171123,0.3971430322259565,0.4452225861194071,,,,,,1750,376,6,0.7780775868190809,0.4435869713632084
mmr_multiclass/random_cluster_stratified/late_fusion/fusion_extra_trees,mmr_multiclass,random_cluster_stratified,late_fusion,fusion_extra_trees,target_mmr_multiclass,split_random_cluster_stratified,374,0.4732620320855615,0.330073342111416,0.3901560003793057,,,,,,1750,376,6,0.7607648853186822,0.4092153834057551
