result_dir,target_folder,split_folder,model_family,model,target,split_col,n_test,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_train,n_validation,n_classes,macro_ovr_roc_auc,macro_pr_auc
design_binary/random_cluster_stratified/late_fusion/fusion_extra_trees,design_binary,random_cluster_stratified,late_fusion,fusion_extra_trees,target_design_binary,split_random_cluster_stratified,374,0.8609625668449198,0.5902233459755584,0.8235578060669159,0.9233038348082596,0.8694444444444445,0.9842767295597484,0.8542228212039533,0.9705358917221252,1750,376,2,,
design_binary/temporal_cluster_safe/late_fusion/dummy,design_binary,temporal_cluster_safe,late_fusion,dummy,target_design_binary,split_temporal_cluster_safe,897,0.9743589743589745,0.4935064935064935,0.9617049617049616,0.987012987012987,0.9743589743589745,1.0,0.5,0.9743589743589745,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_lr,design_binary,temporal_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_temporal_cluster_safe,897,0.8717948717948718,0.545590703452286,0.9108535287937868,0.9305974652987328,0.9846743295019156,0.8821510297482837,0.7766391403840414,0.9914195068199024,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_svm,design_binary,temporal_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_temporal_cluster_safe,897,0.8584169453734671,0.5235607787373748,0.902500403481144,0.9229836264402668,0.9819354838709676,0.8707093821510298,0.7409710476569495,0.988702710876426,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_mlp,design_binary,temporal_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_temporal_cluster_safe,897,0.9765886287625418,0.6758556605234629,0.972063711416352,0.9880749574105622,0.9808342728297632,0.9954233409610984,0.8468311610784997,0.9950510530740304,1257,346,2,,
design_binary/temporal_cluster_safe/late_fusion/fusion_extra_trees,design_binary,temporal_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_temporal_cluster_safe,897,0.9732441471571908,0.4932203389830508,0.9611473272490222,0.9864406779661016,0.9743303571428572,0.9988558352402744,0.8334991543130037,0.9946451290189564,1257,346,2,,
design_binary/cross_program_cluster_safe/late_fusion/dummy,design_binary,cross_program_cluster_safe,late_fusion,dummy,target_design_binary,split_cross_program_cluster_safe,218,0.7018348623853211,0.4123989218328841,0.5788718811048741,0.8247978436657682,0.7018348623853211,1.0,0.5,0.7018348623853211,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_lr,design_binary,cross_program_cluster_safe,late_fusion,fusion_lr,target_design_binary,split_cross_program_cluster_safe,218,0.6926605504587156,0.624282958199357,0.6889843358211157,0.7845659163987139,0.7721518987341772,0.7973856209150327,0.7270990447461037,0.8668381405012221,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_svm,design_binary,cross_program_cluster_safe,late_fusion,fusion_svm,target_design_binary,split_cross_program_cluster_safe,218,0.7064220183486238,0.6320675105485232,0.6988348236751443,0.7974683544303798,0.7730061349693251,0.8235294117647058,0.7133232780291604,0.8531277162391956,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_mlp,design_binary,cross_program_cluster_safe,late_fusion,fusion_mlp,target_design_binary,split_cross_program_cluster_safe,218,0.7385321100917431,0.6470187199954549,0.7195698761078276,0.8267477203647416,0.7727272727272727,0.8888888888888888,0.8098541980894922,0.9118860859517044,2228,54,2,,
design_binary/cross_program_cluster_safe/late_fusion/fusion_extra_trees,design_binary,cross_program_cluster_safe,late_fusion,fusion_extra_trees,target_design_binary,split_cross_program_cluster_safe,218,0.7064220183486238,0.4554254488680718,0.6046666523429947,0.825136612021858,0.7089201877934272,0.9869281045751634,0.709502262443439,0.8647198307409399,2228,54,2,,
