result_dir,target_folder,split_folder,model_family,model,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
design_binary/cross_program_cluster_safe/text_hgt,design_binary,cross_program_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cross_program_cluster_safe,train,2228,7,0.76,42,0.8752244165170556,0.7345231666023746,0.876612344999568,0.931664058424622,0.9239524055871702,0.9277922077922078,0.8060185712907837,0.9580161669020965,
design_binary/cross_program_cluster_safe/text_hgt,design_binary,cross_program_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cross_program_cluster_safe,validation,54,7,0.76,42,0.7962962962962963,0.76,0.8118518518518519,0.9696969696969696,0.7619047619047619,0.8533333333333334,0.8730158730158731,0.9663156036478212,
design_binary/cross_program_cluster_safe/text_hgt,design_binary,cross_program_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cross_program_cluster_safe,test,218,7,0.76,42,0.7110091743119266,0.6237157182388559,0.6968759480905722,0.7647058823529411,0.8496732026143791,0.804953560371517,0.6974358974358974,0.8390449330398154,
design_binary/cold_start_pi_cluster_safe/text_hgt,design_binary,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cold_start_pi_cluster_safe,train,1735,11,0.7314148681055156,42,0.8559077809798271,0.7258564024775629,0.8556901217689445,0.9140518417462484,0.9153005464480874,0.9146757679180888,0.7974890609561832,0.951083273606894,
design_binary/cold_start_pi_cluster_safe/text_hgt,design_binary,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cold_start_pi_cluster_safe,validation,400,11,0.7314148681055156,42,0.8775,0.7314148681055156,0.8839376498800959,0.9472140762463344,0.9124293785310734,0.929496402877698,0.8413780397936624,0.9719616664890924,
design_binary/cold_start_pi_cluster_safe/text_hgt,design_binary,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cold_start_pi_cluster_safe,test,365,11,0.7314148681055156,42,0.8602739726027397,0.702012198050233,0.853729312752824,0.9034267912772586,0.935483870967742,0.919175911251981,0.7643988269794721,0.9461923780294296,
design_binary/cold_start_institution_cluster_safe/text_hgt,design_binary,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cold_start_institution_cluster_safe,train,2253,7,0.7828802611966783,42,0.8588548601864181,0.7265985376948086,0.8627373048798539,0.927927927927928,0.9058458354888774,0.9167539267015706,0.8181389032591826,0.9591669293622368,
design_binary/cold_start_institution_cluster_safe/text_hgt,design_binary,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cold_start_institution_cluster_safe,validation,133,7,0.7828802611966783,42,0.8270676691729323,0.7828802611966783,0.8307499531709535,0.9042553191489362,0.8585858585858586,0.8808290155440415,0.8256090314913844,0.9359393690224976,
design_binary/cold_start_institution_cluster_safe/text_hgt,design_binary,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_design_binary,split_cold_start_institution_cluster_safe,test,114,7,0.7828802611966783,42,0.7368421052631579,0.6041666666666667,0.7609649122807017,0.8928571428571429,0.78125,0.8333333333333334,0.7690972222222223,0.9503817227894082,
design_binary/edu_to_eng_cluster_safe/text_hgt,design_binary,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_design_binary,split_edu_to_eng_cluster_safe,train,1835,42,0.7990836405564912,42,0.8403269754768392,0.7517761929890411,0.8578593840533467,0.971997052321297,0.837992376111817,0.9000341180484476,0.924488941467428,0.9869206414415812,
design_binary/edu_to_eng_cluster_safe/text_hgt,design_binary,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_design_binary,split_edu_to_eng_cluster_safe,validation,323,42,0.7990836405564912,42,0.8730650154798761,0.7990836405564912,0.8870308872766376,0.991701244813278,0.8597122302158273,0.9210019267822736,0.9326139088729016,0.9896410254980816,
design_binary/edu_to_eng_cluster_safe/text_hgt,design_binary,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_design_binary,split_edu_to_eng_cluster_safe,test,342,42,0.7990836405564912,42,0.8333333333333334,0.7664690026954177,0.8431985624438455,0.9397590361445785,0.8478260869565217,0.8914285714285715,0.8987154150197628,0.9743096539091024,
mmr_multiclass/random_cluster_stratified/text_hgt,mmr_multiclass,random_cluster_stratified,text_hgt,text_hgt,target_mmr_multiclass,split_random_cluster_stratified,train,1750,98,0.4302996067337047,42,0.6491428571428571,0.6198754575387811,0.6328871835216635,,,,,,
mmr_multiclass/random_cluster_stratified/text_hgt,mmr_multiclass,random_cluster_stratified,text_hgt,text_hgt,target_mmr_multiclass,split_random_cluster_stratified,validation,376,98,0.4302996067337047,42,0.4627659574468085,0.4302996067337047,0.4582674456263746,,,,,,
mmr_multiclass/random_cluster_stratified/text_hgt,mmr_multiclass,random_cluster_stratified,text_hgt,text_hgt,target_mmr_multiclass,split_random_cluster_stratified,test,374,98,0.4302996067337047,42,0.4171122994652406,0.3738844383395677,0.412542188678317,,,,,,
mmr_multiclass/temporal_cluster_safe/text_hgt,mmr_multiclass,temporal_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_temporal_cluster_safe,train,1257,74,0.3365272601389131,42,0.6260938743038982,0.5932501048260981,0.6017951334054843,,,,,,
mmr_multiclass/temporal_cluster_safe/text_hgt,mmr_multiclass,temporal_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_temporal_cluster_safe,validation,346,74,0.3365272601389131,42,0.4161849710982659,0.3365272601389131,0.3982320895871932,,,,,,
mmr_multiclass/temporal_cluster_safe/text_hgt,mmr_multiclass,temporal_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_temporal_cluster_safe,test,897,74,0.3365272601389131,42,0.4180602006688963,0.2791029137148944,0.4098095972106608,,,,,,
mmr_multiclass/cross_program_cluster_safe/text_hgt,mmr_multiclass,cross_program_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cross_program_cluster_safe,train,2228,25,0.3650034176349965,42,0.4308797127468581,0.3047138821276314,0.365156863347513,,,,,,
mmr_multiclass/cross_program_cluster_safe/text_hgt,mmr_multiclass,cross_program_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cross_program_cluster_safe,validation,54,25,0.3650034176349965,42,0.4629629629629629,0.3650034176349965,0.4257225555471169,,,,,,
mmr_multiclass/cross_program_cluster_safe/text_hgt,mmr_multiclass,cross_program_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cross_program_cluster_safe,test,218,25,0.3650034176349965,42,0.4357798165137614,0.3070869291873245,0.4171102979048027,,,,,,
mmr_multiclass/cold_start_pi_cluster_safe/text_hgt,mmr_multiclass,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cold_start_pi_cluster_safe,train,1735,141,0.4135198692128572,42,0.7734870317002882,0.7870784229225488,0.778021206063279,,,,,,
mmr_multiclass/cold_start_pi_cluster_safe/text_hgt,mmr_multiclass,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cold_start_pi_cluster_safe,validation,400,141,0.4135198692128572,42,0.435,0.4135198692128572,0.4429984909270892,,,,,,
mmr_multiclass/cold_start_pi_cluster_safe/text_hgt,mmr_multiclass,cold_start_pi_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cold_start_pi_cluster_safe,test,365,141,0.4135198692128572,42,0.4301369863013699,0.3922855029840241,0.4394411571195588,,,,,,
mmr_multiclass/cold_start_institution_cluster_safe/text_hgt,mmr_multiclass,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cold_start_institution_cluster_safe,train,2253,79,0.394019314019314,42,0.5756768752774079,0.5375176284794145,0.5610269206202234,,,,,,
mmr_multiclass/cold_start_institution_cluster_safe/text_hgt,mmr_multiclass,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cold_start_institution_cluster_safe,validation,133,79,0.394019314019314,42,0.4586466165413533,0.394019314019314,0.4328921704861554,,,,,,
mmr_multiclass/cold_start_institution_cluster_safe/text_hgt,mmr_multiclass,cold_start_institution_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_cold_start_institution_cluster_safe,test,114,79,0.394019314019314,42,0.4035087719298245,0.3122563158795042,0.3884281805715825,,,,,,
mmr_multiclass/edu_to_eng_cluster_safe/text_hgt,mmr_multiclass,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_edu_to_eng_cluster_safe,train,1813,206,0.473459760127305,42,0.8665195808052951,0.8835172575955642,0.8679550093543321,,,,,,
mmr_multiclass/edu_to_eng_cluster_safe/text_hgt,mmr_multiclass,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_edu_to_eng_cluster_safe,validation,345,206,0.473459760127305,42,0.4927536231884058,0.473459760127305,0.5005083464545663,,,,,,
mmr_multiclass/edu_to_eng_cluster_safe/text_hgt,mmr_multiclass,edu_to_eng_cluster_safe,text_hgt,text_hgt,target_mmr_multiclass,split_edu_to_eng_cluster_safe,test,342,206,0.473459760127305,42,0.4269005847953216,0.4149966856817712,0.4425064031092191,,,,,,
