result_dir,target_folder,split_folder,model_family,accuracy,macro_f1,weighted_f1,positive_f1,precision,recall,roc_auc,pr_auc,model,target,split_col,label_type,n_train,n_val,n_test,n_features_raw,n_text_embedding_cols,n_metadata_cols,threshold,roc_auc_macro_ovr,pr_auc_macro
integration_binary/cross_program_cluster_safe/metadata_only/metadata_extra_trees,integration_binary,cross_program_cluster_safe,metadata_only,0.7018348623853211,0.5922888792979427,0.6775990254190869,0.3809523809523809,0.5,0.3076923076923077,0.6263448969331322,0.4055229251438508,metadata_extra_trees,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.5424657534246575,0.3516873889875666,0.3815567288741818,0.0,0.0,0.0,0.5,0.4575342465753425,dummy,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,9.0,0.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.673972602739726,0.673972602739726,0.673972602739726,0.673972602739726,0.6212121212121212,0.7365269461077845,0.7113046634004718,0.6188451171820033,metadata_lr,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,9.0,0.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.6493150684931507,0.6493124361976821,0.6493940373572082,0.6483516483516484,0.5989847715736041,0.7065868263473054,0.7156595899110869,0.6605765469817998,metadata_svm,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,9.0,0.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.6465753424657534,0.6461929201012917,0.6452049956597655,0.6578249336870027,0.5904761904761905,0.7425149700598802,0.7274239399987903,0.6568635813909297,metadata_mlp,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,9.0,0.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.7150684931506849,0.7144490581934164,0.7155786160566708,0.7011494252873564,0.6740331491712708,0.7305389221556886,0.7541885925119458,0.6572927620920032,metadata_extra_trees,target_integration_binary,split_cold_start_pi_cluster_safe,binary,1735.0,400.0,365.0,9.0,0.0,9.0,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only/dummy,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.5424657534246575,0.3516873889875666,0.3815567288741818,0.0,0.0,0.0,0.5,0.4575342465753425,dummy,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only/metadata_lr,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.673972602739726,0.673972602739726,0.673972602739726,0.673972602739726,0.6212121212121212,0.7365269461077845,0.7113046634004718,0.6188451171820033,metadata_lr,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only/metadata_svm,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.6493150684931507,0.6493124361976821,0.6493940373572082,0.6483516483516484,0.5989847715736041,0.7065868263473054,0.7156595899110869,0.6605765469817998,metadata_svm,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only/metadata_mlp,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.6465753424657534,0.6461929201012917,0.6452049956597655,0.6578249336870027,0.5904761904761905,0.7425149700598802,0.7274239399987903,0.6568635813909297,metadata_mlp,,,binary,,,,,,,,,
integration_binary/cold_start_pi_cluster_safe/metadata_only/metadata_extra_trees,integration_binary,cold_start_pi_cluster_safe,metadata_only,0.7150684931506849,0.7144490581934164,0.7155786160566708,0.7011494252873564,0.6740331491712708,0.7305389221556886,0.7541885925119458,0.6572927620920032,metadata_extra_trees,,,binary,,,,,,,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.5526315789473685,0.3559322033898305,0.3933987511150758,0.0,0.0,0.0,0.5,0.4473684210526316,dummy,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253.0,133.0,114.0,9.0,0.0,9.0,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.7105263157894737,0.7105040400153906,0.7107713493043883,0.7079646017699115,0.6451612903225806,0.7843137254901961,0.7886710239651417,0.7467752340565159,metadata_lr,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253.0,133.0,114.0,9.0,0.0,9.0,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.6403508771929824,0.6321712441961124,0.6379451027821383,0.5773195876288659,0.6086956521739131,0.5490196078431373,0.7438530967942734,0.7304104234250555,metadata_svm,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253.0,133.0,114.0,9.0,0.0,9.0,,,
integration_binary/cold_start_institution_cluster_safe/metadata_only,integration_binary,cold_start_institution_cluster_safe,metadata_only,0.7280701754385965,0.7255145631067961,0.7283025038323966,0.6990291262135923,0.6923076923076923,0.7058823529411765,0.7892934951758481,0.7554831709007782,metadata_mlp,target_integration_binary,split_cold_start_institution_cluster_safe,binary,2253.0,133.0,114.0,9.0,0.0,9.0,,,
