result_dir,model,split_folder,model_family,target,split_col,eval_split,n,best_epoch,best_val_macro_f1,seed,accuracy,macro_f1,weighted_f1,positive_precision,positive_recall,positive_f1,roc_auc,pr_auc,threshold
design_binary/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_design_binary,split_cross_program_cluster_safe,validation,54,2,0.5158620689655172,42,0.5185185185185185,0.5158620689655172,0.5357854406130268,1.0,0.3809523809523809,0.5517241379310345,0.7103174603174603,0.9169729516755524,
design_binary/cross_program_cluster_safe/hgt_structural,hgt_structural,cross_program_cluster_safe,hgt_structural,target_design_binary,split_cross_program_cluster_safe,test,218,2,0.5158620689655172,42,0.5963302752293578,0.5608058608058608,0.6112276103101791,0.7559055118110236,0.6274509803921569,0.6857142857142857,0.6044243338360985,0.7691931006981717,
design_binary/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_design_binary,split_cold_start_pi_cluster_safe,train,1735,15,0.6635897435897435,42,0.7550432276657061,0.6423199254541124,0.7803886108118447,0.9172690763052208,0.7800546448087432,0.8431155407899594,0.7829456778174337,0.9473884943036176,
design_binary/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_design_binary,split_cold_start_pi_cluster_safe,validation,400,15,0.6635897435897435,42,0.795,0.6635897435897435,0.8254871794871795,0.9594594594594594,0.8022598870056498,0.8738461538461538,0.8385531810366004,0.9761610054908876,
design_binary/cold_start_pi_cluster_safe/hgt_structural,hgt_structural,cold_start_pi_cluster_safe,hgt_structural,target_design_binary,split_cold_start_pi_cluster_safe,test,365,15,0.6635897435897435,42,0.7506849315068493,0.6341517144147419,0.77840399770837,0.9195402298850576,0.7741935483870968,0.840630472854641,0.7760703812316715,0.94754493277872,
design_binary/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_design_binary,split_cold_start_institution_cluster_safe,train,2253,2,0.7248581915248582,42,0.7700843320017754,0.636746821448314,0.794309755164602,0.9198813056379822,0.801862390067253,0.8568269762299613,0.7116803543714434,0.9225059162077254,
design_binary/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_design_binary,split_cold_start_institution_cluster_safe,validation,133,2,0.7248581915248582,42,0.7669172932330827,0.7248581915248582,0.7774320686601389,0.8953488372093024,0.7777777777777778,0.8324324324324325,0.7733214497920381,0.9120495770809376,
design_binary/cold_start_institution_cluster_safe/hgt_structural,hgt_structural,cold_start_institution_cluster_safe,hgt_structural,target_design_binary,split_cold_start_institution_cluster_safe,test,114,2,0.7248581915248582,42,0.7017543859649122,0.576486013986014,0.7340817077659182,0.8875,0.7395833333333334,0.8068181818181818,0.6591435185185185,0.9151983494096444,
design_binary/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_design_binary,split_edu_to_eng_cluster_safe,train,1835,67,0.7005932517612161,42,0.7901907356948229,0.6827114512209417,0.8148465640619585,0.9473288186606472,0.7998729351969505,0.8673785738890802,0.8487417663468139,0.9703277337207,
design_binary/edu_to_eng_cluster_safe/hgt_structural,hgt_structural,edu_to_eng_cluster_safe,hgt_structural,target_design_binary,split_edu_to_eng_cluster_safe,validation,323,67,0.7005932517612161,42,0.8142414860681114,0.7005932517612161,0.8336587723316011,0.9467213114754098,0.8309352517985612,0.8850574712643678,0.8302158273381294,0.953122449390396,
