result_dir,target,split_folder,split_col,model,task_type,train_rows,validation_rows,test_rows,accuracy,macro_f1,weighted_f1,positive_f1,positive_precision,positive_recall,roc_auc,pr_auc,n_numeric_features,n_categorical_features,positive_label,macro_ovr_roc_auc
mmr_multiclass/cold_start_pi_cluster_safe,target_mmr_multiclass,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_rf,multiclass,1735,400,365,0.3643835616438356,0.265832701841077,0.3152186872959576,,,,,,118,6,,0.6627729774370895
mmr_multiclass/cold_start_pi_cluster_safe,target_mmr_multiclass,cold_start_pi_cluster_safe,split_cold_start_pi_cluster_safe,graph_extra_trees,multiclass,1735,400,365,0.3506849315068493,0.2723529496836991,0.318845631694112,,,,,,118,6,,0.66547420037231
mmr_multiclass/cold_start_institution_cluster_safe,target_mmr_multiclass,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,dummy,multiclass,2253,133,114,0.3245614035087719,0.0816777041942604,0.1590565818519809,,,,,,118,6,,0.5
mmr_multiclass/cold_start_institution_cluster_safe,target_mmr_multiclass,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_lr,multiclass,2253,133,114,0.2982456140350877,0.2458258690275953,0.3041702503924034,,,,,,118,6,,0.6304885938567064
mmr_multiclass/cold_start_institution_cluster_safe,target_mmr_multiclass,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_rf,multiclass,2253,133,114,0.3333333333333333,0.215741970707214,0.2840170262555669,,,,,,118,6,,0.6301043503913001
mmr_multiclass/cold_start_institution_cluster_safe,target_mmr_multiclass,cold_start_institution_cluster_safe,split_cold_start_institution_cluster_safe,graph_extra_trees,multiclass,2253,133,114,0.3596491228070175,0.260510815349525,0.3359702549855351,,,,,,118,6,,0.6446723947476785
mmr_multiclass/edu_to_eng_cluster_safe,target_mmr_multiclass,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,dummy,multiclass,2158,0,342,0.283625730994152,0.0736522399392558,0.1253380223527687,,,,,,118,6,,0.5
mmr_multiclass/edu_to_eng_cluster_safe,target_mmr_multiclass,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_lr,multiclass,2158,0,342,0.175438596491228,0.1271306722120782,0.1142774770157286,,,,,,118,6,,0.5664389108188009
mmr_multiclass/edu_to_eng_cluster_safe,target_mmr_multiclass,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_rf,multiclass,2158,0,342,0.2748538011695906,0.211340363252178,0.2572842496119022,,,,,,118,6,,0.6071271195483207
mmr_multiclass/edu_to_eng_cluster_safe,target_mmr_multiclass,edu_to_eng_cluster_safe,split_edu_to_eng_cluster_safe,graph_extra_trees,multiclass,2158,0,342,0.2660818713450292,0.2096739190460869,0.24708323584513,,,,,,118,6,,0.6194649836710913
